Notes,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate
,2020,2020,"Apr., 2020",2020/04,15,Not Applicable,Not Applicable
,2020,2020,"May, 2020",2020/05,10,Not Applicable,Not Applicable
,2020,2020,"Jul., 2020",2020/07,16,Not Applicable,Not Applicable
,2020,2020,"Sep., 2020",2020/09,11,Not Applicable,Not Applicable
,2020,2020,"Nov., 2020",2020/11,13,Not Applicable,Not Applicable
,2020,2020,"Dec., 2020",2020/12,12,Not Applicable,Not Applicable
,2021,2021,"Jan., 2021 ",2021/01,28,Not Applicable,Not Applicable
,2021,2021,"Feb., 2021 ",2021/02,11,Not Applicable,Not Applicable
,2021,2021,"Mar., 2021 ",2021/03,13,Not Applicable,Not Applicable
,2021,2021,"Apr., 2021 ",2021/04,10,Not Applicable,Not Applicable
,2021,2021,"May, 2021 ",2021/05,14,Not Applicable,Not Applicable
,2021,2021,"June, 2021 ",2021/06,,Not Applicable,Not Applicable
,2021,2021,"Jul., 2021 ",2021/07,12,Not Applicable,Not Applicable
,2021,2021,"Aug., 2021 ",2021/08,97,Not Applicable,Not Applicable
,2021,2021,"Sep., 2021 ",2021/09,119,Not Applicable,Not Applicable
,2021,2021,"Oct., 2021 ",2021/10,57,Not Applicable,Not Applicable
,2021,2021,"Nov., 2021 ",2021/11,25,Not Applicable,Not Applicable
,2021,2021,"Dec., 2021 ",2021/12,38,Not Applicable,Not Applicable